,county_name,2012_unemp,2016_unemp,2020_unemp,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
203,San Jacinto,0.056,0.063,0.081,-0.009,0.015,0.013,44878,39475
204,San Patricio,0.076,0.075,0.103,0.011,0.027,0.035,52659,53057
205,San Saba,0.032,0.034,0.052,-0.033,-0.014,-0.016,40718,42649
206,Schleicher,0.037,0.052,0.069,-0.028,0.004,0.001,59766,49339
207,Scurry,0.044,0.059,0.082,-0.021,0.011,0.014,55661,52129
208,Shackelford,0.03,0.038,0.053,-0.035,-0.01,-0.015,50285,60273
209,Shelby,0.051,0.06,0.068,-0.014,0.012,0.0,36312,36767
210,Sherman,0.031,0.03,0.031,-0.034,-0.018,-0.037,52969,51364
211,Smith,0.041,0.045,0.068,-0.024,-0.003,0.0,48683,55128
212,Somervell,0.045,0.048,0.065,-0.02,0.0,-0.003,50562,62868
213,Starr,0.117,0.134,0.173,0.052,0.086,0.105,26682,30107
214,Stephens,0.047,0.053,0.061,-0.018,0.005,-0.007,45217,43202
215,Sterling,0.038,0.039,0.064,-0.027,-0.009,-0.004,50156,61843
216,Stonewall,0.034,0.044,0.05,-0.031,-0.004,-0.018,47969,44692
217,Sutton,0.051,0.08,0.098,-0.014,0.032,0.03,54567,58729
218,Swisher,0.041,0.043,0.052,-0.024,-0.005,-0.016,35167,41100
219,Tarrant,0.037,0.04,0.073,-0.028,-0.008,0.005,60373,64935
220,Taylor,0.035,0.037,0.055,-0.03,-0.011,-0.013,47044,50431
221,Terrell,0.049,0.042,0.046,-0.016,-0.006,-0.022,24821,42294
222,Terry,0.05,0.048,0.073,-0.015,0.0,0.005,40407,39771
223,Throckmorton,0.043,0.035,0.049,-0.022,-0.013,-0.019,39438,39580
224,Titus,0.053,0.062,0.067,-0.012,0.014,-0.001,45026,46226
225,Tom Green,0.037,0.045,0.063,-0.028,-0.003,-0.005,47637,50717
226,Travis,0.03,0.032,0.063,-0.035,-0.016,-0.005,64422,74713
227,Trinity,0.055,0.061,0.081,-0.01,0.013,0.013,35865,40544
228,Tyler,0.073,0.073,0.099,0.008,0.025,0.031,45427,44680
229,Upshur,0.052,0.064,0.077,-0.013,0.016,0.009,47724,49146
230,Upton,0.038,0.053,0.056,-0.027,0.005,-0.012,48220,54544
231,Uvalde,0.047,0.053,0.064,-0.018,0.005,-0.004,39011,41380
232,Val Verde,0.051,0.063,0.079,-0.014,0.015,0.011,44170,41698
233,Van Zandt,0.037,0.043,0.061,-0.028,-0.005,-0.007,46555,51439
234,Victoria,0.048,0.054,0.083,-0.017,0.006,0.015,54697,53096
235,Walker,0.046,0.053,0.072,-0.019,0.005,0.004,40090,43999
236,Waller,0.049,0.056,0.078,-0.016,0.008,0.01,53508,57243
237,Ward,0.041,0.057,0.094,-0.024,0.009,0.026,56796,56848
238,Washington,0.042,0.051,0.056,-0.023,0.003,-0.012,52718,54666
239,Webb,0.042,0.049,0.085,-0.023,0.001,0.017,38711,48681
240,Wharton,0.045,0.05,0.068,-0.02,0.002,0.0,46445,46205
241,Wheeler,0.041,0.048,0.06,-0.024,0.0,-0.008,51082,54207
242,Wichita,0.037,0.044,0.067,-0.028,-0.004,-0.001,45371,47718
243,Wilbarger,0.047,0.047,0.059,-0.018,-0.001,-0.009,43635,39417
244,Willacy,0.11,0.123,0.12,0.045,0.075,0.052,28817,33168
245,Williamson,0.032,0.034,0.059,-0.033,-0.014,-0.009,75935,85797
246,Wilson,0.035,0.039,0.057,-0.03,-0.009,-0.011,68737,71208
247,Winkler,0.052,0.077,0.093,-0.013,0.029,0.025,54261,60087
248,Wise,0.04,0.047,0.065,-0.025,-0.001,-0.003,56396,65248
249,Wood,0.047,0.053,0.066,-0.018,0.005,-0.002,47814,52727
250,Yoakum,0.035,0.048,0.119,-0.03,0.0,0.051,56655,57996
251,Young,0.038,0.044,0.053,-0.027,-0.004,-0.015,46978,48744
252,Zapata,0.073,0.108,0.124,0.008,0.06,0.056,36976,33397
253,Zavala,0.111,0.139,0.141,0.046,0.091,0.073,26639,30128
